ParName   Value   Gradient
log_fdev[3](21)     -2.42025 -5.92805e-05
log_fdev[3](22)     -3.51023  -4.9238e-05
log_fdev[3](23)    -0.836173 -7.03748e-05
log_fdev[3](24)    -0.108043  6.63867e-06
log_fdev[3](25)      1.08093 -7.02567e-05
log_fdev[4](1)     0.531697  0.000610565
log_fdev[4](2)    -0.125922 -0.000574289
log_fdev[4](3)    -0.357822  0.000473593
log_fdev[4](4)       0.5571   -0.0005063
log_fdev[4](5)     -1.86308 -0.000585568
log_fdev[4](6)    0.0988286 -0.000270073
log_fdev[4](7)    -0.156093  0.000985665
log_fdev[4](8)    -0.990373 -0.000183988
log_fdev[4](9)    -0.816752  0.000559017
log_fdev[4](10)    -0.549719 -0.000497611
log_fdev[4](11)    -0.595194 -0.000314334
log_fdev[4](12)   -0.0515731 -0.000771317
log_fdev[4](13)    -0.759639  0.000743032
log_fdev[4](14)     -1.76173 -0.000324223
log_fdev[4](15)     -2.59795  7.63314e-05
log_fdev[4](16)     -1.10735  0.000454375
log_fdev[4](17)    -0.539826   4.9146e-05
log_fdev[4](18)     0.607808  0.000311232
log_fdev[4](19)      1.46223  -0.00078831
log_fdev[4](20)      1.15145 -0.000170706
log_fdev[4](21)     0.257453  0.000256858
log_fdev[4](22)      1.53778 -0.000279097
log_fdev[4](23)      1.93613 -0.000498754
log_fdev[4](24)      1.08672   0.00141873
log_fdev[4](25)    0.0475453  1.41826e-05
log_fdev[4](26)      1.16539  -0.00123175
log_fdev[4](27)      1.18959 -1.89776e-05
log_fdev[4](28)     0.643298   0.00049696
log_foff[1]     -2.75298 -0.000139338
log_foff[3]    -0.126946  6.97465e-05
log_fdov[1](1)      1.91298  1.75514e-05
log_fdov[1](2)    -0.746366  0.000102198
log_fdov[1](3)      1.92524  0.000122362
log_fdov[1](4)       1.7631  9.63314e-05
log_fdov[1](5)    -0.456403  3.15515e-05
log_fdov[1](6)    -0.242296  1.97023e-05
log_fdov[1](7)      -3.7333  1.38937e-05
log_fdov[1](8)    -0.376768  7.94645e-05
log_fdov[1](9)      1.38796  7.68121e-05
log_fdov[1](10)     -2.83149 -1.91769e-05
log_fdov[1](11)      1.10735 -9.57002e-05
log_fdov[1](12)     0.824003 -7.08004e-05
log_fdov[1](13)     -1.92985 -1.52591e-05
log_fdov[1](14)      1.16884  4.40324e-05
log_fdov[1](15)     0.376053 -7.07747e-05
log_fdov[1](16)     0.894475  2.75609e-06
log_fdov[1](17)     -1.27763  4.63824e-05
log_fdov[1](18)    -0.235018  0.000111055
log_fdov[1](19)    -0.496852 -3.60158e-05
log_fdov[1](20)    -0.748768 -0.000127983
log_fdov[1](21)    -0.251533  1.63346e-05
log_fdov[1](22)     -1.13282  8.30833e-05
log_fdov[1](23)     -1.84911  8.02725e-05
log_fdov[1](24)     0.164206 -2.38707e-05
log_fdov[1](25)     -0.24258   -6.922e-05
log_fdov[1](26)     0.820392 -4.54367e-05
log_fdov[1](27)     0.271124  2.79218e-06
log_fdov[1](28)    -0.387628  1.30717e-05
log_fdov[1](29)     0.920546 -3.38017e-05
log_fdov[1](30)    -0.167363 -6.62079e-05
log_fdov[1](31)    -0.696657  2.76062e-05
log_fdov[1](32)      2.89044  -1.1607e-05
log_fdov[1](33)      1.20025  3.53771e-05
log_fdov[1](34)     0.171526  1.28544e-05
log_fdov[3](1) -2.34732e-05  0.000150264
log_fdov[3](2)  6.97321e-05  9.74223e-05
log_fdov[3](3)  0.000289508 -4.22057e-05
log_fdov[3](4)  0.000240598 -8.32652e-05
log_fdov[3](5)  0.000398698  -0.00011485
log_fdov[3](6)  9.31913e-05 -5.01807e-05
log_fdov[3](7) -8.06907e-05   3.2655e-05
log_fdov[3](8) -0.000132968 -6.99471e-05
log_fdov[3](9) -0.000136229  0.000182276
log_fdov[3](10) -8.09384e-05 -0.000153938
log_fdov[3](11) -9.16396e-05 -8.80711e-05
